fns1,fns2
5.380728949855418e-29,-2.524524030544728e-13
7.080732502204905e-29,-1.6099895500013658e-13
1.0512275663312392e-28,1.0582722047304412e-14
1.7580956418181905e-28,3.219632513013817e-13
3.3056781343517824e-28,8.845313940188903e-13
6.971090478073525e-28,1.906873465974813e-12
1.644075840196505e-27,3.7843471273239955e-12
4.322120427732453e-27,7.277752314105652e-12
1.2618806558292814e-26,1.3874902310524745e-11
4.074782881042692e-26,2.653305134130417e-11
1.4487937846281085e-25,5.122494060728617e-11
5.6443776661186825e-25,1.002013045909228e-10
2.397027093451581e-24,1.9896032205919534e-10
1.1035054801547646e-23,4.0130115484802203e-10
5.475006153229331e-23,8.221536576541436e-10
2.9096692811646193e-22,1.7097559923057176e-9
1.645805971788388e-21,3.6053485494115484e-9
9.84269925214796e-21,7.69806438820357e-9
6.181353891026184e-20,1.661545835388153e-8
4.047997068176739e-19,3.618461554885879e-8
2.7445381963632733e-18,7.934647317770875e-8
1.9124945605497097e-17,1.7481382248476647e-7
1.3596232924905473e-16,3.8607721573605346e-7
9.787658241487208e-16,8.526923094417182e-7
7.081356629187343e-15,1.8787659343835859e-6
5.110474232027243e-14,4.119444677483469e-6
3.651314145762808e-13,8.966078063292006e-6
2.563515121429504e-12,1.9322888207546238e-5
1.7555308658048157e-11,4.112986809191295e-5
1.1641217288331582e-10,8.625351915331208e-5
7.421532328472478e-10,0.00017777199134902486
4.5170040847818004e-9,0.00035922746068139954
2.6067888180416505e-8,0.0007100244503950118
1.4170598982147256e-7,0.0013695658342311246
7.209895457086031e-7,0.002572419616517966
3.412503702096932e-6,0.004694975240521192
1.4937900728036258e-5,0.0083096924307806
6.014240754518398e-5,0.014235499679185203
0.00022156048759837797,0.0235626927728742
0.0007432265031490343,0.03762061473353872
0.0022600826719179875,0.05785212997323294
0.006204773042737722,0.08556804086671585
0.015322309561693215,0.12158338551537833
0.033923289783428,0.1657856018570737
0.0671446679310027,0.2167399318822
0.11852771883090879,0.271476438923636
0.1862398858682523,0.3255977626880639
0.26008613177333634,0.3737801527166245
0.32247871624188434,0.4106211926333102
0.35479205560760385,0.4316552815698166
0.34632845091547676,0.43426919167558364
0.30005396885319324,0.41825175667859715
0.23092197859421998,0.385813744169428
0.15806817627609435,0.3410794683347321
0.09640377501929115,0.2892136535848993
0.05250089744717079,0.23544152213737798
0.025598049591055255,0.18421706447440328
0.011208461700627349,0.13870865445478045
0.004422802253224583,0.10064872273702749
0.001578885555611951,0.07048626613896632
0.0005121106572441592,0.04772058413179837
0.00015162025976138118,0.0312877927216733
4.1181766784225386e-5,0.019903106397157304
1.031635608119032e-5,0.012308208095043776
2.3970476135715523e-6,0.007414589269743781
5.196820968238864e-7,0.004360372922397958
1.0578098057533751e-7,0.0025087816335868677
2.0346499956621447e-8,0.0014154434236860202
3.7229070960687214e-9,0.0007849220777970236
6.524785267475299e-10,0.00042884667690388725
1.1030477590864386e-10,0.00023140683896018943
1.8116668619513766e-11,0.00012362976921236074
2.9119052083456598e-12,6.555871858115116e-5
4.614074139553587e-13,3.459366391717606e-5
7.261326751290526e-14,1.8210692849500767e-5
1.143395551414176e-14,9.588012359208956e-6
1.8148797365479783e-15,5.061868819762193e-6
2.925336160111727e-16,2.686439396416741e-6
4.823445835623564e-17,1.4368864848366452e-6
8.194618259745907e-18,7.764797807689082e-7
1.4446819819141447e-18,4.249781997521089e-7
2.661367687970225e-19,2.361444944188534e-7
5.157817447878518e-20,1.3353179560530555e-7
1.0585363702581163e-20,7.701570318490062e-8
2.3151240047178708e-21,4.540676815126085e-8
5.428878554730153e-22,2.7423983588188992e-8
1.3728735317382133e-22,1.700161373848441e-8
3.7646194930328153e-23,1.0840162253311951e-8
1.1251915273394029e-23,7.121240252104542e-9
3.6833372227630026e-24,4.828212134997009e-9
1.3264867997366951e-24,3.3838400509818355e-9
5.27693590968371e-25,2.4549937305088078e-9
2.327428808087206e-25,1.8461713906347193e-9
1.1418416222741473e-25,1.4407080010376436e-9
6.248915669648991e-26,1.1678810027221619e-9
3.823996925037514e-26,9.84259096188589e-10
2.6217727145201525e-26,8.6299746322711e-10
2.0169182968153374e-26,7.876429577557019e-10
1.742715626859771e-26,7.48550691527989e-10
